SRR1033783	SRR1033784	SRR1033785	SRR1033786	SRR1033787	SRR1033788	SRR1033789	SRR1033790	SRR1033791	SRR1033792	SRR1033793	SRR1033794	SRR1033795	SRR1033796
ENSMUSG00000065625	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411	5	3	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000061024	537	622	234	199	359	338	311	366	102	124	350	212	105	86
ENSMUSG00000025911	1132	1258	42	62	183	84	70	69	7	28	31	23	5	5
ENSMUSG00000079671	227	239	54	89	1576	1892	877	1004	25	66	100	54	83	113
ENSMUSG00000081441	6	9	2	1	1	0	1	0	0	2	0	0	3	11
ENSMUSG00000067879	10	26	344	650	13469	14876	6941	8523	165	481	108	39	52	45
ENSMUSG00000099827	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000025912	79	154	51	49	565	147	123	31	3	6	1	0	44	27
ENSMUSG00000045210	752	953	941	943	1002	498	555	294	81	138	118	64	566	541
ENSMUSG00000097893	132	117	95	66	123	50	75	34	18	17	13	10	87	71
ENSMUSG00000025915	154	148	58	57	569	345	278	158	129	139	213	153	707	613
ENSMUSG00000046334	7	2	4	5	11	10	9	2	6	3	0	0	16	8
ENSMUSG00000088916	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046101	20	20	18	14	14	9	17	14	15	13	11	7	37	48
ENSMUSG00000098234	220	200	209	179	226	162	156	147	115	108	48	46	163	193
ENSMUSG00000093178	2	5	6	4	4	0	2	0	0	1	1	0	0	3
ENSMUSG00000099032	3	4	0	3	7	13	0	0	0	0	6	1	5	6
ENSMUSG00000104025	0	2	1	0	0	0	0	0	0	0	1	2	1	0
ENSMUSG00000025916	5	3	0	1	2	0	1	0	0	0	0	0	2	1
ENSMUSG00000087199	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095780	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025917	613	800	837	1123	920	1063	1210	1231	678	817	327	220	961	1075
ENSMUSG00000056763	1678	1971	808	897	710	183	366	82	22	37	72	21	284	270
ENSMUSG00000102356	1	1	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067851	985	1096	1284	1721	1521	805	1309	588	304	313	214	69	1876	1666
ENSMUSG00000088153	1	0	1	0	0	0	1	2	0	1	1	0	1	0
ENSMUSG00000102556	0	0	6	1	0	1	0	0	0	0	0	0	2	0
ENSMUSG00000042501	0	0	2	2	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000103810	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083422	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094979	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081417	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103448	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100212	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100648	0	0	1	0	1	0	0	0	0	2	0	0	2	4
ENSMUSG00000088585	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048960	1050	763	53	48	656	91	94	57	31	54	22	6	2987	2822
ENSMUSG00000077318	1	3	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000101827	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103494	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057715	6	8	367	254	19	29	3	6	7	21	7	1	7	10
ENSMUSG00000103825	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099845	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103561	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101610	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093864	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098555	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097628	0	1	4	3	1	1	2	3	2	2	3	1	1	0
ENSMUSG00000098163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097171	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101314	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000016918	9	13	24	44	599	706	141	96	2	11	1	3	26	11
ENSMUSG00000025938	7	12	377	265	138	50	33	17	0	0	1	0	125	132
ENSMUSG00000104518	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069620	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099498	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042414	0	0	0	0	0	0	0	1	0	0	0	0	0	6
ENSMUSG00000005886	1007	1241	1383	2200	1422	965	1207	806	374	405	308	230	822	719
ENSMUSG00000103506	0	1	12	0	1	0	3	0	0	0	0	0	1	0
ENSMUSG00000103495	0	1	10	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099183	1	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102639	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104170	0	0	9	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000087782	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103085	1	2	28	1	1	0	2	0	0	0	1	1	0	0
ENSMUSG00000102664	3	1	31	0	2	0	1	0	0	0	0	0	0	0
ENSMUSG00000101476	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000101171	0	0	0	0	0	0	0	0	0	0	1	0	2	0
ENSMUSG00000025935	600	790	367	329	1093	812	615	544	340	320	866	570	1877	1938
ENSMUSG00000025937	234	244	55	65	151	128	145	78	93	87	192	152	150	151
ENSMUSG00000102982	5	7	0	0	1	0	2	1	0	0	1	0	0	0
ENSMUSG00000067813	1	1	0	0	0	0	0	1	0	0	5	2	0	0
ENSMUSG00000077368	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097711	0	2	5	4	2	2	1	2	3	5	8	2	2	3
ENSMUSG00000102166	0	0	0	0	1	0	0	1	0	0	0	0	0	0
ENSMUSG00000089358	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104209	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025932	885	583	402	626	1264	605	213	166	13	7	5	2	5	11
ENSMUSG00000095853	1	2	4	1	8	2	0	0	0	0	0	0	0	0
ENSMUSG00000102588	6	9	5	4	4	0	0	0	0	0	0	0	0	0
ENSMUSG00000054493	1	0	8	1	11	22	3	0	0	2	0	0	1	4
ENSMUSG00000025930	0	2	11	1	17	26	3	8	0	3	1	3	0	2
ENSMUSG00000103492	1	1	0	1	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000081201	2	3	11	9	3	6	7	2	2	0	2	0	10	13
ENSMUSG00000082193	3	1	3	18	5	14	4	2	1	1	6	8	21	33
ENSMUSG00000032769	0	0	10	8	1	0	0	1	0	1	0	0	0	0
ENSMUSG00000088159	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073737	1	1	5	3	1	5	0	3	0	1	2	0	1	1
ENSMUSG00000092083	3	12	1971	2094	191	81	24	14	1	1	0	0	2	4
ENSMUSG00000102937	0	0	29	1	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000104149	0	0	20	3	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088829	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077377	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101652	0	0	1	3	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100814	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025925	158	194	201	192	208	89	102	51	21	36	36	12	325	304
ENSMUSG00000104379	13	11	17	31	17	10	5	0	0	4	0	0	22	11
ENSMUSG00000032719	7	8	21	26	15	10	13	0	2	1	0	0	22	22
ENSMUSG00000088943	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100652	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067795	6	0	8	15	6	0	1	0	0	0	3	3	0	0
ENSMUSG00000043716	1663	2027	3475	4577	4687	6326	4525	5524	5337	5222	9637	6545	19785	20159
ENSMUSG00000025921	318	326	215	159	264	352	98	97	53	39	107	65	259	225
ENSMUSG00000104165	0	0	1	3	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000100868	1	0	2	0	3	0	1	0	0	0	0	0	0	0
ENSMUSG00000025920	313	428	1547	1430	908	941	396	372	206	258	200	118	449	380
ENSMUSG00000089982	0	0	5	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000025939	287	380	688	540	408	370	422	251	150	200	124	89	465	511
ENSMUSG00000102457	33	33	56	46	40	34	45	31	22	21	17	2	46	43
ENSMUSG00000079658	281	465	1314	1087	625	383	665	341	355	404	166	119	636	578
ENSMUSG00000097744	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100959	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025940	170	202	296	190	241	209	171	108	92	89	70	68	177	217
ENSMUSG00000025779	22	20	14	5	16	9	8	6	3	1	32	17	38	54
ENSMUSG00000100093	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091020	0	0	1	1	0	1	0	1	1	0	2	1	19	21
ENSMUSG00000101640	2	1	9	5	0	0	9	6	10	8	0	0	1	4
ENSMUSG00000104133	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042686	21	26	142	108	21	14	162	105	186	193	0	5	76	67
ENSMUSG00000100110	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025777	25	37	1661	2180	757	527	261	138	102	107	11	17	24	20
ENSMUSG00000099899	0	0	2	4	0	1	0	0	0	0	1	0	0	0
ENSMUSG00000100272	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100398	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101589	27	20	19	32	17	12	10	3	3	2	6	2	12	18
ENSMUSG00000102048	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089534	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067780	0	4	7	2	1	0	0	0	0	0	1	0	1	0
ENSMUSG00000100053	0	0	3	1	0	0	2	0	0	0	1	0	2	1
ENSMUSG00000085125	1	0	11	1	0	2	0	0	0	0	0	0	15	22
ENSMUSG00000025776	2	1	29	29	9	4	1	5	1	0	1	0	190	149
ENSMUSG00000099895	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000100554	1	0	5	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000099473	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099591	0	0	15	8	0	1	0	0	3	0	0	0	0	0
ENSMUSG00000109887	0	0	33	33	4	2	0	0	0	0	1	0	0	0
ENSMUSG00000102001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101717	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025774	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070977	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073735	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067773	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101685	0	0	0	0	1	0	0	0	0	0	1	0	0	0
ENSMUSG00000101738	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101306	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088800	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101644	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099433	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089787	0	0	4	4	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042596	0	0	37	20	0	0	0	0	0	1	0	0	1	0
ENSMUSG00000100720	0	0	53	56	0	3	1	0	1	0	0	0	2	7
ENSMUSG00000025927	1	0	6	4	9	5	1	0	0	0	0	0	1	3
ENSMUSG00000100538	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101117	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100204	0	6	2	2	0	3	1	2	0	6	3	1	2	4
ENSMUSG00000084668	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102597	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043760	0	0	0	1	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000104095	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089914	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090142	1	0	2	0	1	0	0	0	0	0	0	0	1	6
ENSMUSG00000070175	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065559	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099906	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065480	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025929	0	0	0	0	0	0	0	0	0	1	1	0	0	0
ENSMUSG00000041872	0	1	2	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000041859	226	325	49	63	459	685	107	85	53	37	702	506	494	503
ENSMUSG00000099714	3	4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102121	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088858	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097934	19	33	7	3	1	2	7	6	5	4	0	0	0	4
ENSMUSG00000025931	4577	5139	466	442	1059	529	3280	2236	2674	2368	52	36	203	199
ENSMUSG00000077314	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100929	12	20	1	0	3	0	8	1	1	2	0	0	0	0
ENSMUSG00000041809	40	40	11	7	11	24	5	6	6	8	10	9	31	22
ENSMUSG00000041779	287	340	309	465	68	35	45	86	10	12	105	63	500	445
ENSMUSG00000099971	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100819	2	1	3	0	1	2	1	0	1	0	0	0	3	2
ENSMUSG00000025933	105	99	143	76	170	197	264	230	158	167	14	8	49	37
ENSMUSG00000102633	0	0	0	0	1	0	1	0	0	0	0	0	0	0
ENSMUSG00000025934	8	8	16	24	23	8	12	7	6	3	0	0	1	0
ENSMUSG00000099343	0	1	0	0	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000096375	0	1	0	2	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000025936	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000093963	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067750	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000086194	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094436	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041722	0	0	2	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000085507	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094926	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085079	0	0	2	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000085679	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028033	5	3	1024	1154	92	88	133	72	7	46	6	0	7	10
ENSMUSG00000104138	0	0	13	6	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082935	53	42	107	135	88	106	75	40	70	65	73	50	270	331
ENSMUSG00000103748	0	0	10	5	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000097109	0	0	84	62	2	1	2	3	0	0	0	0	1	0
ENSMUSG00000099692	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100418	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041670	12	24	1313	1421	747	466	676	325	1007	892	66	48	7	11
ENSMUSG00000097642	0	0	3	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000101468	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101227	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073730	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089553	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102766	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065405	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000097970	31	18	1	6	6	2	4	0	0	1	0	0	14	24
ENSMUSG00000065567	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100775	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000101226	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026158	68	90	428	261	479	331	115	41	47	116	365	337	174	213
ENSMUSG00000097920	0	0	2	1	0	1	0	0	2	0	0	0	0	0
ENSMUSG00000099503	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026156	643	916	1122	1000	3224	2679	1985	1468	405	475	194	120	844	746
ENSMUSG00000026155	818	945	1634	1212	2550	2097	1990	1484	565	683	290	195	1143	1103
ENSMUSG00000026154	76	73	174	110	116	144	117	123	96	93	49	73	142	161
ENSMUSG00000102495	21	20	51	59	53	67	41	40	30	32	21	12	62	55
ENSMUSG00000026153	1468	1581	484	564	1130	498	779	309	64	142	65	25	825	811
ENSMUSG00000102398	2	3	3	2	1	0	0	0	0	0	0	0	0	1
ENSMUSG00000097670	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026147	149	111	19	35	7	3	206	155	19	35	0	0	1	1
ENSMUSG00000026141	2	4	414	205	143	65	27	19	2	0	0	0	1	2
ENSMUSG00000077463	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099997	0	3	0	7	2	10	3	2	1	1	0	0	2	2
ENSMUSG00000100131	25	19	40	97	124	46	85	24	83	83	1	5	170	112
ENSMUSG00000067736	8	4	11	40	41	10	16	3	35	25	0	2	44	40
ENSMUSG00000101939	5	12	55	59	49	70	45	36	154	104	23	17	102	90
ENSMUSG00000101111	66	48	294	390	337	343	285	243	1048	872	123	111	833	909
ENSMUSG00000100862	68	59	338	406	408	220	289	158	610	586	32	30	676	978
ENSMUSG00000102070	35	32	403	291	240	126	188	94	502	308	33	56	408	414
ENSMUSG00000101249	126	46	84	145	206	136	177	97	498	395	44	38	1783	365
ENSMUSG00000073725	1853	1914	1450	1597	2947	2625	3631	2389	2073	2163	727	541	2160	2001
ENSMUSG00000100808	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100483	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100450	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099392	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033569	2356	2574	755	632	1050	778	369	356	21	73	13	30	22	7
