FileID,Line,Genotype,Age,SAMPLE_ID,bamFile,numReads,numMapped,numUnmapped,overallMapRate,totalMapped,mitoMapped,mitoRate,totalAssignedGene,R1,R2
FCH5FFWBBXX_L5_HKMUSrtgRAAIRAAPEI-126_1,Del,HT,Adult,FCH5FFWBBXX_L5_HKMUSrtgRAAIRAAPEI-126_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L5_HKMUSrtgRAAIRAAPEI-126_1_accepted_hits.sorted.bam,25000108,24198349,801759,0.9679,22786956,3479903,0.132482646668945,0.780603277206732,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L5_HKMUSrtgRAAIRAAPEI-126_1.fq.gz,NA
FCH5FFWBBXX_L5_HKMUSrtgRAAJRAAPEI-127_1,Del,WT,Adult,FCH5FFWBBXX_L5_HKMUSrtgRAAJRAAPEI-127_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L5_HKMUSrtgRAAJRAAPEI-127_1_accepted_hits.sorted.bam,35104933,33983855,1121078,0.9681,31210401,4673730,0.130245037841379,0.829657467561273,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L5_HKMUSrtgRAAJRAAPEI-127_1.fq.gz,NA
FCH5FFWBBXX_L7_HKMUSrtgRAAKRAAPEI-128_1,Del,WT,Adult,FCH5FFWBBXX_L7_HKMUSrtgRAAKRAAPEI-128_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L7_HKMUSrtgRAAKRAAPEI-128_1_accepted_hits.sorted.bam,32878595,31826112,1052483,0.968,29749040,3762353,0.112270862628719,0.834414655344884,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L7_HKMUSrtgRAAKRAAPEI-128_1.fq.gz,NA
FCH5FFWBBXX_L7_HKMUSrtgRAALRAAPEI-129_1,Del,HT,Adult,FCH5FFWBBXX_L7_HKMUSrtgRAALRAAPEI-129_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L7_HKMUSrtgRAALRAAPEI-129_1_accepted_hits.sorted.bam,33890870,32806171,1084699,0.968,30064918,4634574,0.133563165708593,0.826994064079774,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L7_HKMUSrtgRAALRAAPEI-129_1.fq.gz,NA
FCH5FFWBBXX_L7_HKMUSrtgRAAMRAAPEI-130_1,Nest,HT,Adult,FCH5FFWBBXX_L7_HKMUSrtgRAAMRAAPEI-130_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L7_HKMUSrtgRAAMRAAPEI-130_1_accepted_hits.sorted.bam,26834333,25961497,872836,0.9675,24049948,3592879,0.129975092634339,0.816221960676314,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L7_HKMUSrtgRAAMRAAPEI-130_1.fq.gz,NA
FCH5FFWBBXX_L7_HKMUSrtgRAANRAAPEI-131_1,Nest,WT,Adult,FCH5FFWBBXX_L7_HKMUSrtgRAANRAAPEI-131_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L7_HKMUSrtgRAANRAAPEI-131_1_accepted_hits.sorted.bam,28395557,27448676,946881,0.9667,25321361,3717808,0.128027355052757,0.828344732467976,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L7_HKMUSrtgRAANRAAPEI-131_1.fq.gz,NA
FCH5FFWBBXX_L7_HKMUSrtgRAAORAAPEI-133_1,Nest,HT,Adult,FCH5FFWBBXX_L7_HKMUSrtgRAAORAAPEI-133_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L7_HKMUSrtgRAAORAAPEI-133_1_accepted_hits.sorted.bam,32308110,31278148,1029962,0.9681,28437326,4540755,0.137690091791575,0.831866212124813,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L7_HKMUSrtgRAAORAAPEI-133_1.fq.gz,NA
FCH5FFWBBXX_L7_HKMUSrtgRAAPRAAPEI-134_1,Nest,WT,Adult,FCH5FFWBBXX_L7_HKMUSrtgRAAPRAAPEI-134_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L7_HKMUSrtgRAAPRAAPEI-134_1_accepted_hits.sorted.bam,26677096,25797042,880054,0.967,24091561,3932973,0.14034035320623,0.779189923943706,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L7_HKMUSrtgRAAPRAAPEI-134_1.fq.gz,NA
FCH5FFWBBXX_L7_HKMUSrtgRAAQRAAPEI-135_1,Nest,HT,Adult,FCH5FFWBBXX_L7_HKMUSrtgRAAQRAAPEI-135_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L7_HKMUSrtgRAAQRAAPEI-135_1_accepted_hits.sorted.bam,33279447,32209638,1069809,0.9679,30380041,4808003,0.136637404454763,0.771779420615383,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L7_HKMUSrtgRAAQRAAPEI-135_1.fq.gz,NA
FCH5FFWBBXX_L7_HKMUSrtgRAARRAAPEI-136_1,Nest,WT,Adult,FCH5FFWBBXX_L7_HKMUSrtgRAARRAAPEI-136_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L7_HKMUSrtgRAARRAAPEI-136_1_accepted_hits.sorted.bam,30003299,29053217,950082,0.9683,27687937,3797374,0.120607797077183,0.785694776464155,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L7_HKMUSrtgRAARRAAPEI-136_1.fq.gz,NA
FCH5FFWBBXX_L8_HKMUSrtgRAAWRAAPEI-122_1,R579W,WT,Adult,FCH5FFWBBXX_L8_HKMUSrtgRAAWRAAPEI-122_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L8_HKMUSrtgRAAWRAAPEI-122_1_accepted_hits.sorted.bam,30139847,29150160,989687,0.9672,26669328,4097590,0.133181685601398,0.830407795271707,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L8_HKMUSrtgRAAWRAAPEI-122_1.fq.gz,NA
FCH5FFWBBXX_L8_HKMUSrtgRAAXRAAPEI-123_1,R579W,HT,Adult,FCH5FFWBBXX_L8_HKMUSrtgRAAXRAAPEI-123_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L8_HKMUSrtgRAAXRAAPEI-123_1_accepted_hits.sorted.bam,30199333,29176020,1023313,0.9661,26965737,4086895,0.131611871096788,0.814149818199798,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L8_HKMUSrtgRAAXRAAPEI-123_1.fq.gz,NA
FCH5FFWBBXX_L8_HKMUSrtgRAAYRAAPEI-124_1,R579W,WT,Adult,FCH5FFWBBXX_L8_HKMUSrtgRAAYRAAPEI-124_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L8_HKMUSrtgRAAYRAAPEI-124_1_accepted_hits.sorted.bam,28538305,27569231,969074,0.966,26004713,3668778,0.123638233196087,0.798175445291387,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L8_HKMUSrtgRAAYRAAPEI-124_1.fq.gz,NA
FCH5FFWBBXX_L8_HKMUSrtgRAAZRAAPEI-125_1,R579W,HT,Adult,FCH5FFWBBXX_L8_HKMUSrtgRAAZRAAPEI-125_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L8_HKMUSrtgRAAZRAAPEI-125_1_accepted_hits.sorted.bam,29211056,28252567,958489,0.9672,25962874,4003596,0.133602523086637,0.821288189224227,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L8_HKMUSrtgRAAZRAAPEI-125_1.fq.gz,NA
FCH5FFWBBXX_L8_HKMUSrtgRABARAAPEI-126_1,Del,WT,Adult,FCH5FFWBBXX_L8_HKMUSrtgRABARAAPEI-126_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L8_HKMUSrtgRABARAAPEI-126_1_accepted_hits.sorted.bam,25721271,24707442,1013829,0.9606,23188325,3343399,0.126015143230044,0.794261003114123,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L8_HKMUSrtgRABARAAPEI-126_1.fq.gz,NA
FCH5HKJBBXX_L6_HKMUSrtgRABBRAAPEI-127_1,Del,HT,Adult,FCH5HKJBBXX_L6_HKMUSrtgRABBRAAPEI-127_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L6_HKMUSrtgRABBRAAPEI-127_1_accepted_hits.sorted.bam,32373169,31241143,1132026,0.965,28292927,4886418,0.147272889202605,0.816969239274235,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L6_HKMUSrtgRABBRAAPEI-127_1.fq.gz,NA
FCH5HKJBBXX_L6_HKMUSrtgRABCRAAPEI-128_1,Del,WT,Adult,FCH5HKJBBXX_L6_HKMUSrtgRABCRAAPEI-128_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L6_HKMUSrtgRABCRAAPEI-128_1_accepted_hits.sorted.bam,30326184,29255684,1070500,0.9647,27319947,3597683,0.116363479348191,0.825284067396108,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L6_HKMUSrtgRABCRAAPEI-128_1.fq.gz,NA
FCH5HKJBBXX_L6_HKMUSrtgRABDRAAPEI-129_1,Del,HT,Adult,FCH5HKJBBXX_L6_HKMUSrtgRABDRAAPEI-129_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L6_HKMUSrtgRABDRAAPEI-129_1_accepted_hits.sorted.bam,30777960,29728395,1049565,0.9659,27391282,4209081,0.133197235740615,0.8149150846411,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L6_HKMUSrtgRABDRAAPEI-129_1.fq.gz,NA
FCH5HKJBBXX_L5_HKMUSrtgRABERAAPEI-130_1,Del,WT,Adult,FCH5HKJBBXX_L5_HKMUSrtgRABERAAPEI-130_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L5_HKMUSrtgRABERAAPEI-130_1_accepted_hits.sorted.bam,28496499,27129608,1366891,0.952,27112948,1526406,0.0532975010539693,0.833621772839421,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L5_HKMUSrtgRABERAAPEI-130_1.fq.gz,NA
FCH5FFWBBXX_L8_HKMUSrtgRABFRAAPEI-131_1,Del,HT,Adult,FCH5FFWBBXX_L8_HKMUSrtgRABFRAAPEI-131_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L8_HKMUSrtgRABFRAAPEI-131_1_accepted_hits.sorted.bam,31416650,29940296,1476354,0.953,29135297,1794034,0.0580042937236502,0.871099008411398,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L8_HKMUSrtgRABFRAAPEI-131_1.fq.gz,NA
FCH5FFWBBXX_L8_HKMUSrtgRABGRAAPEI-133_1,Nest,WT,Adult,FCH5FFWBBXX_L8_HKMUSrtgRABGRAAPEI-133_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L8_HKMUSrtgRABGRAAPEI-133_1_accepted_hits.sorted.bam,29860720,28403399,1457321,0.9512,28468247,1765326,0.0583895922589103,0.816774834756068,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L8_HKMUSrtgRABGRAAPEI-133_1.fq.gz,NA
FCH5FFWBBXX_L8_HKMUSrtgRABHRAAPEI-134_1,Nest,HT,Adult,FCH5FFWBBXX_L8_HKMUSrtgRABHRAAPEI-134_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5FFWBBXX_L8_HKMUSrtgRABHRAAPEI-134_1_accepted_hits.sorted.bam,31166752,29684484,1482268,0.9524,29279214,2119280,0.0674962308701812,0.825402526727649,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5FFWBBXX_L8_HKMUSrtgRABHRAAPEI-134_1.fq.gz,NA
FCH5HKJBBXX_L6_HKMUSrtgRABIRAAPEI-135_1,Nest,WT,Adult,FCH5HKJBBXX_L6_HKMUSrtgRABIRAAPEI-135_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L6_HKMUSrtgRABIRAAPEI-135_1_accepted_hits.sorted.bam,32675020,31012226,1662794,0.9491,30701155,2289337,0.0693938423228123,0.823026855868347,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L6_HKMUSrtgRABIRAAPEI-135_1.fq.gz,NA
FCH5HKJBBXX_L6_HKMUSrtgRABJRAAPEI-136_1,Nest,HT,Adult,FCH5HKJBBXX_L6_HKMUSrtgRABJRAAPEI-136_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L6_HKMUSrtgRABJRAAPEI-136_1_accepted_hits.sorted.bam,25717669,24484609,1233060,0.9521,24358134,1433119,0.0555660866883823,0.840485835545448,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L6_HKMUSrtgRABJRAAPEI-136_1.fq.gz,NA
FCH5HKJBBXX_L6_HKMUSrtgRABKRAAPEI-116_1,Nest,WT,Adult,FCH5HKJBBXX_L6_HKMUSrtgRABKRAAPEI-116_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L6_HKMUSrtgRABKRAAPEI-116_1_accepted_hits.sorted.bam,24496560,23342150,1154410,0.9529,23393518,1388398,0.0560246431309024,0.824375696598604,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L6_HKMUSrtgRABKRAAPEI-116_1.fq.gz,NA
FCH5HKJBBXX_L5_HKMUSrtgRABLRAAPEI-118_1,Nest,HT,Adult,FCH5HKJBBXX_L5_HKMUSrtgRABLRAAPEI-118_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L5_HKMUSrtgRABLRAAPEI-118_1_accepted_hits.sorted.bam,29700811,28336042,1364769,0.954,27961958,1638634,0.0553581495937649,0.853776735485004,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L5_HKMUSrtgRABLRAAPEI-118_1.fq.gz,NA
FCH5HKJBBXX_L5_HKMUSrtgRABMRAAPEI-119_1,Act,WT,Adult,FCH5HKJBBXX_L5_HKMUSrtgRABMRAAPEI-119_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L5_HKMUSrtgRABMRAAPEI-119_1_accepted_hits.sorted.bam,32200760,30746574,1454186,0.9548,30035920,2033712,0.0634155078549077,0.854450688459725,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L5_HKMUSrtgRABMRAAPEI-119_1.fq.gz,NA
FCH5HKJBBXX_L5_HKMUSrtgRABNRAAPEI-121_1,Act,HT,Adult,FCH5HKJBBXX_L5_HKMUSrtgRABNRAAPEI-121_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L5_HKMUSrtgRABNRAAPEI-121_1_accepted_hits.sorted.bam,32117669,30596359,1521310,0.9526,29980963,2021208,0.0631584650928839,0.850296292138373,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L5_HKMUSrtgRABNRAAPEI-121_1.fq.gz,NA
FCH5HKJBBXX_L5_HKMUSrtgRABORAAPEI-122_1,Act,WT,Adult,FCH5HKJBBXX_L5_HKMUSrtgRABORAAPEI-122_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L5_HKMUSrtgRABORAAPEI-122_1_accepted_hits.sorted.bam,31056859,29603979,1452880,0.9532,29261091,1580129,0.051234322118256,0.855993655532204,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L5_HKMUSrtgRABORAAPEI-122_1.fq.gz,NA
FCH5HKJBBXX_L5_HKMUSrtgRABPRAAPEI-123_1,Act,HT,Adult,FCH5HKJBBXX_L5_HKMUSrtgRABPRAAPEI-123_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L5_HKMUSrtgRABPRAAPEI-123_1_accepted_hits.sorted.bam,31882596,30340309,1542287,0.9516,30714804,1614329,0.0499341878422784,0.819388897118504,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L5_HKMUSrtgRABPRAAPEI-123_1.fq.gz,NA
FCH5HKJBBXX_L5_HKMUSrtgRABQRAAPEI-124_1,Act,WT,Adult,FCH5HKJBBXX_L5_HKMUSrtgRABQRAAPEI-124_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L5_HKMUSrtgRABQRAAPEI-124_1_accepted_hits.sorted.bam,32996245,31239908,1756337,0.9468,30940444,1593554,0.0489811919211405,0.86220210264061,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L5_HKMUSrtgRABQRAAPEI-124_1.fq.gz,NA
FCH5HKJBBXX_L5_HKMUSrtgRABRRAAPEI-125_1,Act,HT,Adult,FCH5HKJBBXX_L5_HKMUSrtgRABRRAAPEI-125_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L5_HKMUSrtgRABRRAAPEI-125_1_accepted_hits.sorted.bam,27591913,26330703,1261210,0.9543,26279519,1322495,0.0479129892478136,0.848073208989905,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L5_HKMUSrtgRABRRAAPEI-125_1.fq.gz,NA
FCH5HKJBBXX_L5_HKMUSrtgRABSRAAPEI-126_1,Act,WT,Adult,FCH5HKJBBXX_L5_HKMUSrtgRABSRAAPEI-126_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L5_HKMUSrtgRABSRAAPEI-126_1_accepted_hits.sorted.bam,26888231,25520610,1367621,0.9491,25747785,1434603,0.0527769304153851,0.821637335502909,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L5_HKMUSrtgRABSRAAPEI-126_1.fq.gz,NA
FCH5HKJBBXX_L5_HKMUSrtgRABTRAAPEI-127_1,Act,HT,Adult,FCH5HKJBBXX_L5_HKMUSrtgRABTRAAPEI-127_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L5_HKMUSrtgRABTRAAPEI-127_1_accepted_hits.sorted.bam,33739741,32111086,1628655,0.9517,32551620,1854190,0.0538917700237256,0.813416967747673,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L5_HKMUSrtgRABTRAAPEI-127_1.fq.gz,NA
FCH5HKJBBXX_L5_HKMUSrtgRABURAAPEI-128_1,R579W,HT,P1,FCH5HKJBBXX_L5_HKMUSrtgRABURAAPEI-128_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L5_HKMUSrtgRABURAAPEI-128_1_accepted_hits.sorted.bam,30260034,28641357,1618677,0.9465,32020461,499804,0.0153690014518639,0.745936120828191,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L5_HKMUSrtgRABURAAPEI-128_1.fq.gz,NA
FCH5HKJBBXX_L8_HKMUSrtgRABVRAAPEI-129_1,R579W,WT,P1,FCH5HKJBBXX_L8_HKMUSrtgRABVRAAPEI-129_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L8_HKMUSrtgRABVRAAPEI-129_1_accepted_hits.sorted.bam,39617636,37242949,2374687,0.9401,41184496,628455,0.0150301517823987,0.75965116290745,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L8_HKMUSrtgRABVRAAPEI-129_1.fq.gz,NA
FCH5HKJBBXX_L7_HKMUSrtgRABWRAAPEI-130_1,R579W,HT,P1,FCH5HKJBBXX_L7_HKMUSrtgRABWRAAPEI-130_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L7_HKMUSrtgRABWRAAPEI-130_1_accepted_hits.sorted.bam,32123888,30568948,1554940,0.9516,32003763,895257,0.0272122695448071,0.810753453152743,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L7_HKMUSrtgRABWRAAPEI-130_1.fq.gz,NA
FCH5HKJBBXX_L7_HKMUSrtgRABXRAAPEI-131_1,R579W,HT,P1,FCH5HKJBBXX_L7_HKMUSrtgRABXRAAPEI-131_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L7_HKMUSrtgRABXRAAPEI-131_1_accepted_hits.sorted.bam,25510150,24174182,1335968,0.9476,26413726,385977,0.0144022864731001,0.770648883332581,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L7_HKMUSrtgRABXRAAPEI-131_1.fq.gz,NA
FCH5HKJBBXX_L7_HKMUSrtgRABYRAAPEI-133_1,R579W,WT,P1,FCH5HKJBBXX_L7_HKMUSrtgRABYRAAPEI-133_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L7_HKMUSrtgRABYRAAPEI-133_1_accepted_hits.sorted.bam,29325042,27899807,1425235,0.9514,29526759,686211,0.0227124642165269,0.800752170987556,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L7_HKMUSrtgRABYRAAPEI-133_1.fq.gz,NA
FCH5HKJBBXX_L7_HKMUSrtgRABZRAAPEI-134_1,Del,HT,P1,FCH5HKJBBXX_L7_HKMUSrtgRABZRAAPEI-134_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L7_HKMUSrtgRABZRAAPEI-134_1_accepted_hits.sorted.bam,29811288,28382409,1428879,0.9521,30230190,485343,0.0158012234396193,0.806872233024673,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L7_HKMUSrtgRABZRAAPEI-134_1.fq.gz,NA
FCH5HKJBBXX_L8_HKMUSrtgRACARAAPEI-135_1,Del,HT,P1,FCH5HKJBBXX_L8_HKMUSrtgRACARAAPEI-135_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L8_HKMUSrtgRACARAAPEI-135_1_accepted_hits.sorted.bam,40220611,37945910,2274701,0.9434,41021320,924817,0.0220477275416327,0.774594469100052,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L8_HKMUSrtgRACARAAPEI-135_1.fq.gz,NA
FCH5HKJBBXX_L8_HKMUSrtgRACBRAAPEI-136_1,Del,WT,P1,FCH5HKJBBXX_L8_HKMUSrtgRACBRAAPEI-136_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L8_HKMUSrtgRACBRAAPEI-136_1_accepted_hits.sorted.bam,38611159,36491500,2119659,0.9451,39117899,664842,0.0167118198316199,0.793532281805029,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L8_HKMUSrtgRACBRAAPEI-136_1.fq.gz,NA
FCH5HKJBBXX_L7_HKMUSrtgRACCRAAPEI-116_1,Del,HT,P1,FCH5HKJBBXX_L7_HKMUSrtgRACCRAAPEI-116_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L7_HKMUSrtgRACCRAAPEI-116_1_accepted_hits.sorted.bam,34026153,32706625,1319528,0.9612,33669023,1295682,0.0370568549055397,0.823993999257454,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L7_HKMUSrtgRACCRAAPEI-116_1.fq.gz,NA
FCH5HKJBBXX_L7_HKMUSrtgRACDRAAPEI-118_1,Del,WT,P1,FCH5HKJBBXX_L7_HKMUSrtgRACDRAAPEI-118_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L7_HKMUSrtgRACDRAAPEI-118_1_accepted_hits.sorted.bam,NA,NA,NA,NA,24275230,622464,0.0250008695584418,0.772637703046357,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L7_HKMUSrtgRACDRAAPEI-118_1.fq.gz,NA
FCH5HKJBBXX_L7_HKMUSrtgRACERAAPEI-119_1,Nest,HT,P1,FCH5HKJBBXX_L7_HKMUSrtgRACERAAPEI-119_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L7_HKMUSrtgRACERAAPEI-119_1_accepted_hits.sorted.bam,NA,NA,NA,NA,30879286,1434791,0.0444014229464143,0.796231603703426,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L7_HKMUSrtgRACERAAPEI-119_1.fq.gz,NA
FCH5HKJBBXX_L6_HKMUSrtgRACFRAAPEI-121_1,Nest,WT,P1,FCH5HKJBBXX_L6_HKMUSrtgRACFRAAPEI-121_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L6_HKMUSrtgRACFRAAPEI-121_1_accepted_hits.sorted.bam,35073597,33677979,1395618,0.9602,34596131,1759849,0.0484060393915939,0.805354991228693,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L6_HKMUSrtgRACFRAAPEI-121_1.fq.gz,NA
FCH5HKJBBXX_L8_HKMUSrtgRACGRBAPEI-122_1,Nest,WT,P1,FCH5HKJBBXX_L8_HKMUSrtgRACGRBAPEI-122_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L8_HKMUSrtgRACGRBAPEI-122_1_accepted_hits.sorted.bam,28239031,26501307,1737724,0.9385,28180102,680624,0.0235830519301559,0.794485777884435,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L8_HKMUSrtgRACGRBAPEI-122_1.fq.gz,NA
FCH5HKJBBXX_L6_HKMUSrtgRACHRAAPEI-123_1,Nest,HT,P1,FCH5HKJBBXX_L6_HKMUSrtgRACHRAAPEI-123_1,/dcl01/lieber/ajaffe/Brady/philpot/HISAT2_out/FCH5HKJBBXX_L6_HKMUSrtgRACHRAAPEI-123_1_accepted_hits.sorted.bam,NA,NA,NA,NA,25279557,920213,0.0351229419189558,0.799268592437989,/dcl01/lieber/ajaffe/Brady/philpot/FASTQ/FCH5HKJBBXX_L6_HKMUSrtgRACHRAAPEI-123_1.fq.gz,NA
