FileID,Line,Genotype,Age,SAMPLE_ID,numReads,numMapped,numUnmapped,overallMapRate,totalMapped,mitoMapped,mitoRate,totalAssignedGene,R1,R2
FCH5HKJBBXX_L7_HKMUSrtgRABWRAAPEI-130_1,R579W,HT,P1,FCH5HKJBBXX_L7_HKMUSrtgRABWRAAPEI-130_1,32123888,30568948,1554940,0.9516,32003763,895257,0.0272122695448071,0.810753453152743,FCH5HKJBBXX_L7_HKMUSrtgRABWRAAPEI-130_1.fq.gz,NA
FCH5HKJBBXX_L7_HKMUSrtgRABXRAAPEI-131_1,R579W,HT,P1,FCH5HKJBBXX_L7_HKMUSrtgRABXRAAPEI-131_1,25510150,24174182,1335968,0.9476,26413726,385977,0.0144022864731001,0.770648883332581,FCH5HKJBBXX_L7_HKMUSrtgRABXRAAPEI-131_1.fq.gz,NA
FCH5HKJBBXX_L7_HKMUSrtgRABYRAAPEI-133_1,R579W,WT,P1,FCH5HKJBBXX_L7_HKMUSrtgRABYRAAPEI-133_1,29325042,27899807,1425235,0.9514,29526759,686211,0.0227124642165269,0.800752170987556,FCH5HKJBBXX_L7_HKMUSrtgRABYRAAPEI-133_1.fq.gz,NA
FCH5HKJBBXX_L7_HKMUSrtgRABZRAAPEI-134_1,Del,HT,P1,FCH5HKJBBXX_L7_HKMUSrtgRABZRAAPEI-134_1,29811288,28382409,1428879,0.9521,30230190,485343,0.0158012234396193,0.806872233024673,FCH5HKJBBXX_L7_HKMUSrtgRABZRAAPEI-134_1.fq.gz,NA
FCH5HKJBBXX_L8_HKMUSrtgRACARAAPEI-135_1,Del,HT,P1,FCH5HKJBBXX_L8_HKMUSrtgRACARAAPEI-135_1,40220611,37945910,2274701,0.9434,41021320,924817,0.0220477275416327,0.774594469100052,FCH5HKJBBXX_L8_HKMUSrtgRACARAAPEI-135_1.fq.gz,NA
FCH5HKJBBXX_L8_HKMUSrtgRACBRAAPEI-136_1,Del,WT,P1,FCH5HKJBBXX_L8_HKMUSrtgRACBRAAPEI-136_1,38611159,36491500,2119659,0.9451,39117899,664842,0.0167118198316199,0.793532281805029,FCH5HKJBBXX_L8_HKMUSrtgRACBRAAPEI-136_1.fq.gz,NA
FCH5HKJBBXX_L7_HKMUSrtgRACCRAAPEI-116_1,Del,HT,P1,FCH5HKJBBXX_L7_HKMUSrtgRACCRAAPEI-116_1,34026153,32706625,1319528,0.9612,33669023,1295682,0.0370568549055397,0.823993999257454,FCH5HKJBBXX_L7_HKMUSrtgRACCRAAPEI-116_1.fq.gz,NA
FCH5HKJBBXX_L7_HKMUSrtgRACDRAAPEI-118_1,Del,WT,P1,FCH5HKJBBXX_L7_HKMUSrtgRACDRAAPEI-118_1,NA,NA,NA,NA,24275230,622464,0.0250008695584418,0.772637703046357,FCH5HKJBBXX_L7_HKMUSrtgRACDRAAPEI-118_1.fq.gz,NA
FCH5HKJBBXX_L7_HKMUSrtgRACERAAPEI-119_1,Nest,HT,P1,FCH5HKJBBXX_L7_HKMUSrtgRACERAAPEI-119_1,NA,NA,NA,NA,30879286,1434791,0.0444014229464143,0.796231603703426,FCH5HKJBBXX_L7_HKMUSrtgRACERAAPEI-119_1.fq.gz,NA
FCH5HKJBBXX_L6_HKMUSrtgRACFRAAPEI-121_1,Nest,WT,P1,FCH5HKJBBXX_L6_HKMUSrtgRACFRAAPEI-121_1,35073597,33677979,1395618,0.9602,34596131,1759849,0.0484060393915939,0.805354991228693,FCH5HKJBBXX_L6_HKMUSrtgRACFRAAPEI-121_1.fq.gz,NA
FCH5HKJBBXX_L8_HKMUSrtgRACGRBAPEI-122_1,Nest,WT,P1,FCH5HKJBBXX_L8_HKMUSrtgRACGRBAPEI-122_1,28239031,26501307,1737724,0.9385,28180102,680624,0.0235830519301559,0.794485777884435,FCH5HKJBBXX_L8_HKMUSrtgRACGRBAPEI-122_1.fq.gz,NA
FCH5HKJBBXX_L6_HKMUSrtgRACHRAAPEI-123_1,Nest,HT,P1,FCH5HKJBBXX_L6_HKMUSrtgRACHRAAPEI-123_1,NA,NA,NA,NA,25279557,920213,0.0351229419189558,0.799268592437989,FCH5HKJBBXX_L6_HKMUSrtgRACHRAAPEI-123_1.fq.gz,NA
FCH5HKJBBXX_L6_HKMUSrtgRACIRAAPEI-124_1,Nest,HT,P1,FCH5HKJBBXX_L6_HKMUSrtgRACIRAAPEI-124_1,35313950,33892872,1421078,0.9598,35284700,1318556,0.0360229155570204,0.806661724813994,FCH5HKJBBXX_L6_HKMUSrtgRACIRAAPEI-124_1.fq.gz,NA
FCH5HKJBBXX_L6_HKMUSrtgRACJRAAPEI-125_1,Nest,HT,P1,FCH5HKJBBXX_L6_HKMUSrtgRACJRAAPEI-125_1,34681726,33283705,1398021,0.9597,35252134,1149014,0.0315653231595883,0.788766256524489,FCH5HKJBBXX_L6_HKMUSrtgRACJRAAPEI-125_1.fq.gz,NA
